"library_id" "total_spots" "total_bases" "taxonomy_id" "ScientificName"
"SRR21358357" 738856 110828400 1869227 "bacterium"
"SRR21360974" 312631 93789300 1869227 "bacterium"
"SRR21359767" 1181300 177195000 1869227 "bacterium"
"SRR21363115" 1053744 316123200 1869227 "bacterium"
"SRR21358815" 983784 147567600 1869227 "bacterium"
"SRR21359401" 3108556 466283400 1869227 "bacterium"
"SRR21362041" 295556 88666800 1869227 "bacterium"
"SRR21359602" 1889678 283451700 1869227 "bacterium"
"SRR21358123" 990268 148540200 1869227 "bacterium"
"SRR21358760" 1635416 245312400 1869227 "bacterium"
"SRR21358721" 1103796 165569400 1869227 "bacterium"
"SRR21363116" 681188 204356400 1869227 "bacterium"
"SRR21363053" 334334 100300200 1869227 "bacterium"
"SRR21359889" 989982 148497300 1869227 "bacterium"
"SRR21359330" 1205906 180885900 1869227 "bacterium"
"SRR21358901" 1767436 265115400 1869227 "bacterium"
"SRR21360416" 4514584 677187600 1869227 "bacterium"
"SRR21358878" 654306 98145900 1869227 "bacterium"
"SRR21361596" 998883 299664900 1869227 "bacterium"
"SRR21362121" 279600 83880000 1869227 "bacterium"
"SRR21361719" 553883 166164900 1869227 "bacterium"
"SRR21359487" 619940 92991000 1869227 "bacterium"
"SRR21358204" 946584 141987600 1869227 "bacterium"
"SRR21360778" 728263 218478900 1869227 "bacterium"
"SRR21359163" 2717460 407619000 1869227 "bacterium"
"SRR21359408" 2227730 334159500 1869227 "bacterium"
"SRR21361253" 284902 85470600 1869227 "bacterium"
"SRR21360156" 926034 138905100 1869227 "bacterium"
"SRR21361838" 15858 4757400 1869227 "bacterium"
"SRR21362136" 576070 172821000 1869227 "bacterium"
"SRR21361292" 28349 8504700 1869227 "bacterium"
"SRR21362032" 452391 135717300 1869227 "bacterium"
"SRR21358314" 756506 113475900 1869227 "bacterium"
"SRR21358131" 2144004 321600600 1869227 "bacterium"
"SRR21362702" 563997 169199100 1869227 "bacterium"
"SRR21361310" 254 76200 1869227 "bacterium"
"SRR21358795" 2150982 322647300 1869227 "bacterium"
"SRR7527376" 583592 170523600 1869227 "bacterium"
"SRR21358926" 444320 66648000 1869227 "bacterium"
"SRR21360235" 582818 87422700 1869227 "bacterium"
"SRR21362987" 564743 169422900 1869227 "bacterium"
"SRR21359969" 1143862 171579300 1869227 "bacterium"
"SRR21359821" 882164 132324600 1869227 "bacterium"
"SRR21362234" 132948 39884400 1869227 "bacterium"
"SRR21360964" 217559 65267700 1869227 "bacterium"
"SRR21358670" 1210136 181520400 1869227 "bacterium"
"SRR21358443" 2903284 435492600 1869227 "bacterium"
"SRR21359855" 378454 56768100 1869227 "bacterium"
"SRR21358447" 1060720 159108000 1869227 "bacterium"
"SRR21359117" 1515678 227351700 1869227 "bacterium"
"SRR21361196" 865399 259619700 1869227 "bacterium"
"SRR21361593" 445281 133584300 1869227 "bacterium"
"SRR21360111" 224 33600 1869227 "bacterium"
"SRR21359784" 628 94200 1869227 "bacterium"
"SRR21358590" 1161922 174288300 1869227 "bacterium"
"SRR21362745" 254445 76333500 1869227 "bacterium"
"SRR21360526" 2108384 316257600 1869227 "bacterium"
"SRR21361500" 344396 103318800 1869227 "bacterium"
"SRR21361203" 194501 58350300 1869227 "bacterium"
"SRR21361568" 100859 30257700 1869227 "bacterium"
"SRR21361769" 848699 254609700 1869227 "bacterium"
"SRR21362716" 351539 105461700 1869227 "bacterium"
"SRR21361020" 360760 108228000 1869227 "bacterium"
"SRR21360360" 1445672 216850800 1869227 "bacterium"
"SRR21358220" 504072 75610800 1869227 "bacterium"
